work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2025.0,Data Scientist,Data Science,USD,152000.0,152000.0,United States,Entry,Full-time,Remote,"San Francisco, CA",Large
2025.0,Machine Learning Engineer,Machine Learning,USD,175000.0,175000.0,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025.0,Senior Data Scientist,Data Science,USD,195000.0,195000.0,United States,Senior,Full-time,In-person,"Seattle, WA",Large
2025.0,Data Analyst,Data Analysis,USD,86500.0,86500.0,United States,Entry,Full-time,Remote,"Austin, TX",Medium
2025.0,Principal Data Scientist,Data Science,USD,243000.0,243000.0,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,AI Engineer,Artificial Intelligence,USD,190000.0,190000.0,United States,Mid,Full-time,Remote,"Boston, MA",Large
2025.0,Data Engineer,Data Engineering,USD,125000.0,125000.0,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025.0,Business Intelligence Analyst,Business Intelligence,USD,78000.0,78000.0,United States,Entry,Full-time,Hybrid,"Denver, CO",Medium
2025.0,Quantitative Analyst,Quantitative Analysis,USD,165000.0,165000.0,United States,Mid,Full-time,In-person,"New York, NY",Large
2025.0,Data Architect,Data Architecture,USD,190000.0,190000.0,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Machine Learning Engineer,Machine Learning,EUR,75000.0,79500.0,Germany,Mid,Full-time,Remote,Munich,Medium
2025.0,Data Scientist,Data Science,GBP,67000.0,84000.0,United Kingdom,Mid,Full-time,Hybrid,London,Large
2025.0,Senior Data Analyst,Data Analysis,CAD,95000.0,70000.0,Canada,Senior,Full-time,Remote,Toronto,Medium
2025.0,AI Specialist,Artificial Intelligence,USD,205000.0,205000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Junior Data Scientist,Data Science,USD,,117000.0,United States,Entry,Full-time,Remote,"Portland, OR",Small
2025.0,Big Data Engineer,Data Engineering,USD,145000.0,145000.0,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025.0,NLP Specialist,Natural Language Processing,USD,170000.0,170000.0,United States,Mid,Full-time,Remote,"New York, NY",Large
2025.0,Data Scientist,Data Science,CHF,120000.0,143000.0,Switzerland,Mid,Full-time,In-person,Zurich,Large
2025.0,Machine Learning Engineer,Machine Learning,USD,158000.0,158000.0,United States,Mid,Contract,Remote,"Los Angeles, CA",Medium
2025.0,Senior Data Engineer,Data Engineering,USD,165000.0,165000.0,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025.0,Data Analyst,Data Analysis,EUR,55000.0,58300.0,Germany,Entry,Full-time,Remote,Berlin,Medium
2025.0,Chief Data Officer,Data Leadership,USD,285000.0,285000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Research Scientist,Research,USD,180000.0,180000.0,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025.0,Data Scientist,Data Science,GBP,52000.0,65200.0,United Kingdom,Entry,Full-time,Remote,Manchester,Small
2025.0,Machine Learning Engineer,Machine Learning,CAD,130000.0,95800.0,Canada,Mid,Full-time,Hybrid,Vancouver,Medium
2025.0,Senior Business Intelligence Analyst,Business Intelligence,USD,105000.0,,United States,Senior,Full-time,In-person,"Chicago, IL",Medium
2025.0,Data Scientist,Data Science,USD,142000.0,142000.0,United States,Mid,Full-time,Remote,"Miami, FL",Medium
2025.0,AI Research Engineer,Artificial Intelligence,USD,195000.0,195000.0,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Junior Data Analyst,Data Analysis,USD,68000.0,68000.0,United States,Entry,Full-time,Remote,"Phoenix, AZ",Small
2025.0,Data Engineering Manager,Data Engineering,USD,220000.0,220000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Machine Learning Engineer,Machine Learning,EUR,85000.0,90100.0,Netherlands,Mid,Full-time,Hybrid,Amsterdam,Large
2025.0,Data Scientist,Data Science,AUD,110000.0,72600.0,Australia,Mid,Full-time,Remote,Sydney,Medium
2025.0,Senior AI Engineer,Artificial Intelligence,USD,225000.0,225000.0,United States,Senior,Full-time,Hybrid,"New York, NY",Large
2025.0,Data Analyst,Data Analysis,CAD,75000.0,55300.0,Canada,Entry,Part-time,Remote,Montreal,Small
2025.0,Computer Vision Engineer,Computer Vision,USD,185000.0,185000.0,United States,Mid,Full-time,In-person,"San Francisco, CA",Large
2025.0,Data Scientist,Data Science,USD,128000.0,128000.0,United States,Entry,Full-time,Hybrid,"Atlanta, GA",Medium
2025.0,Machine Learning Engineer,Machine Learning,USD,212000.0,212000.0,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025.0,Business Data Analyst,Business Intelligence,GBP,45000.0,56500.0,United Kingdom,Entry,Full-time,In-person,Birmingham,Small
2025.0,Data Science Manager,Data Science,USD,240000.0,240000.0,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Junior Machine Learning Engineer,Machine Learning,USD,105000.0,105000.0,United States,Entry,Full-time,Remote,"Denver, CO",Medium
2025.0,Senior Data Architect,Data Architecture,USD,210000.0,210000.0,United States,Senior,Full-time,In-person,"New York, NY",Large
2025.0,Data Scientist,Data Science,EUR,68000.0,72100.0,France,Mid,Full-time,Hybrid,Paris,Medium
2025.0,AI Product Manager,Product Management,USD,175000.0,175000.0,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025.0,Data Engineer,Data Engineering,USD,98000.0,98000.0,United States,Entry,Contract,Remote,"Nashville, TN",Small
2025.0,Senior Quantitative Analyst,Quantitative Analysis,USD,195000.0,195000.0,United States,Senior,Full-time,In-person,"New York, NY",Large
2025.0,Data Scientist,Data Science,SGD,95000.0,70400.0,Singapore,Mid,Full-time,Hybrid,Singapore,Large
2025.0,Machine Learning Engineer,Machine Learning,USD,167000.0,167000.0,United States,Mid,Full-time,Remote,"Portland, OR",Medium
2025.0,Data Analytics Consultant,Data Analysis,USD,125000.0,125000.0,United States,Mid,Contract,Remote,"Dallas, TX",Medium
2025.0,Deep Learning Engineer,Deep Learning,USD,200000.0,200000.0,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Data Scientist,Data Science,INR,1800000.0,21500.0,India,Mid,Full-time,Remote,Bangalore,Large
2025.0,Senior Data Scientist,Data Science,USD,215000.0,215000.0,United States,Senior,Full-time,In-person,"Boston, MA",Large
2025.0,Data Science Intern,Data Science,USD,75000.0,75000.0,United States,Entry,Full-time,Remote,"San Jose, CA",Large
2025.0,MLOps Engineer,Machine Learning Operations,USD,155000.0,155000.0,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Senior Data Analyst,Data Analysis,USD,99000.0,99000.0,United States,Senior,Full-time,In-person,"New York, NY",Medium
2025.0,Data Scientist,Data Science,EUR,62000.0,65700.0,Spain,Mid,Full-time,Remote,Madrid,Medium
2025.0,AI Research Scientist,Artificial Intelligence,USD,230000.0,230000.0,United States,Senior,Full-time,Hybrid,"Palo Alto, CA",Large
2025.0,Junior Data Engineer,Data Engineering,USD,95000.0,95000.0,United States,Entry,Full-time,Remote,"Charlotte, NC",Medium
2025.0,Statistical Analyst,Statistics,CAD,85000.0,62600.0,Canada,Mid,Full-time,In-person,Calgary,Small
2025.0,Data Visualization Specialist,Data Visualization,USD,110000.0,110000.0,United States,Mid,Full-time,Hybrid,"Minneapolis, MN",Medium
2025.0,Machine Learning Engineer,Machine Learning,GBP,75000.0,94000.0,United Kingdom,Senior,Full-time,Remote,Edinburgh,Large
2025.0,Data Science Consultant,Data Science,USD,145000.0,145000.0,United States,Mid,Contract,Remote,"Houston, TX",Medium
2025.0,Senior AI Engineer,Artificial Intelligence,EUR,95000.0,100700.0,Germany,Senior,Full-time,Hybrid,Frankfurt,Large
2025.0,Business Data Scientist,Data Science,USD,135000.0,135000.0,United States,Mid,Full-time,In-person,"Philadelphia, PA",Large
2025.0,Data Mining Specialist,Data Mining,AUD,95000.0,62700.0,Australia,Mid,Full-time,Remote,Melbourne,Medium
2025.0,Senior Machine Learning Engineer,Machine Learning,USD,205000.0,205000.0,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Junior Business Analyst,Business Intelligence,USD,72000.0,72000.0,United States,Entry,Full-time,Remote,"Tampa, FL",Small
2025.0,Data Platform Engineer,Data Engineering,USD,165000.0,165000.0,United States,Mid,Full-time,In-person,"Austin, TX",Large
2025.0,Predictive Analytics Specialist,Predictive Analytics,USD,125000.0,125000.0,United States,Mid,Full-time,Hybrid,"San Diego, CA",Medium
2025.0,Data Scientist,Data Science,JPY,8500000.0,56700.0,Japan,Mid,Full-time,In-person,Tokyo,Large
2025.0,AI Product Specialist,Artificial Intelligence,USD,160000.0,160000.0,United States,Mid,Full-time,Remote,"Boston, MA",Large
2025.0,Senior Data Architect,Data Architecture,CAD,155000.0,114200.0,Canada,Senior,Full-time,Hybrid,Ottawa,Large
2025.0,Data Operations Analyst,Data Operations,USD,88000.0,88000.0,United States,Entry,Full-time,Remote,"Raleigh, NC",Medium
2025.0,Machine Learning Researcher,Machine Learning,USD,185000.0,185000.0,United States,Senior,Full-time,In-person,"Stanford, CA",Large
2025.0,Data Scientist,Data Science,SEK,650000.0,59800.0,Sweden,Mid,Full-time,Hybrid,Stockholm,Medium
2025.0,AI Ethics Specialist,AI Ethics,USD,140000.0,140000.0,United States,Mid,Full-time,Remote,"Washington, DC",Large
2025.0,Junior Data Scientist,Data Science,EUR,48000.0,50900.0,Italy,Entry,Full-time,In-person,Milan,Small
2025.0,Data Strategy Manager,Data Strategy,USD,195000.0,195000.0,United States,Senior,Full-time,Hybrid,"Chicago, IL",Large
2025.0,Computer Vision Specialist,Computer Vision,USD,175000.0,175000.0,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025.0,Data Analyst,Data Analysis,NZD,85000.0,51000.0,New Zealand,Entry,Full-time,Hybrid,Auckland,Medium
2025.0,Senior Business Intelligence Developer,Business Intelligence,USD,115000.0,115000.0,United States,Senior,Full-time,In-person,"Detroit, MI",Medium
2025.0,Machine Learning Engineer,Machine Learning,USD,148000.0,148000.0,United States,Mid,Contract,Remote,"Salt Lake City, UT",Small
2025.0,Data Science Lead,Data Science,USD,210000.0,210000.0,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025.0,Analytics Engineer,Analytics,GBP,58000.0,72800.0,United Kingdom,Mid,Full-time,Remote,Bristol,Medium
2025.0,Data Scientist,Data Science,BRL,180000.0,30000.0,Brazil,Mid,Full-time,In-person,São Paulo,Large
2025.0,AI Solutions Architect,Artificial Intelligence,USD,220000.0,220000.0,United States,Senior,Full-time,Hybrid,"New York, NY",Large
2025.0,Junior Analytics Consultant,Analytics,USD,78000.0,78000.0,United States,Entry,Part-time,Remote,"Orlando, FL",Small
2025.0,Data Engineering Lead,Data Engineering,USD,185000.0,185000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Quantitative Researcher,Quantitative Analysis,USD,175000.0,175000.0,United States,Mid,Full-time,Hybrid,"Boston, MA",Large
2025.0,Data Scientist,Data Science,KRW,75000000.0,55600.0,South Korea,Mid,Full-time,Remote,Seoul,Medium
2025.0,Machine Learning Platform Engineer,Machine Learning,USD,170000.0,170000.0,United States,Mid,Full-time,In-person,"Austin, TX",Large
2025.0,Senior Data Consultant,Data Science,CAD,125000.0,92100.0,Canada,Senior,Contract,Remote,Winnipeg,Medium
2025.0,Data Product Manager,Product Management,USD,165000.0,165000.0,United States,Mid,Full-time,Hybrid,"San Francisco, CA",Large
2025.0,Applied Scientist,Applied Science,USD,190000.0,190000.0,United States,Senior,Full-time,Remote,"Seattle, WA",Large
2025.0,Data Analyst,Data Analysis,MXN,850000.0,42500.0,Mexico,Entry,Full-time,In-person,Mexico City,Medium
2025.0,AI Training Specialist,Artificial Intelligence,USD,135000.0,135000.0,United States,Mid,Full-time,Hybrid,"Atlanta, GA",Medium
2025.0,Senior Statistical Modeler,Statistics,USD,155000.0,155000.0,United States,Senior,Full-time,Remote,"Minneapolis, MN",Large
2025.0,Data Infrastructure Engineer,Data Engineering,EUR,78000.0,82700.0,Netherlands,Mid,Full-time,In-person,Rotterdam,Large
2025.0,Machine Learning Engineer,Machine Learning,USD,162000.0,162000.0,United States,Mid,Full-time,Hybrid,"Denver, CO",Medium
2025.0,Data Science Director,Data Science,USD,275000.0,275000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Junior Data Analyst,Data Analysis,ZAR,450000.0,24800.0,South Africa,Entry,Full-time,Remote,Cape Town,Small
2025.0,AI Research Engineer,Artificial Intelligence,USD,198000.0,198000.0,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025.0,Data Governance Specialist,Data Governance,USD,118000.0,118000.0,United States,Mid,Full-time,Remote,"Columbus, OH",Medium
2025.0,Machine Learning Engineer,Machine Learning,NOK,850000.0,78500.0,Norway,Mid,Full-time,Hybrid,Oslo,Large
2025.0,Senior Data Scientist,Data Science,USD,188000.0,188000.0,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025.0,Data Quality Analyst,Data Quality,EUR,52000.0,55100.0,Belgium,Entry,Full-time,Remote,Brussels,Medium
2025.0,AI Safety Researcher,AI Safety,USD,205000.0,205000.0,United States,Senior,Full-time,Hybrid,"Berkeley, CA",Large
2025.0,Junior Machine Learning Engineer,Machine Learning,USD,108000.0,108000.0,United States,Entry,Full-time,Remote,"Pittsburgh, PA",Medium
2025.0,Data Science Trainer,Data Science,GBP,62000.0,77800.0,United Kingdom,Mid,Contract,In-person,Cambridge,Small
2025.0,Bioinformatics Analyst,Bioinformatics,USD,125000.0,125000.0,United States,Mid,Full-time,Hybrid,"San Diego, CA",Large
2025.0,Data Scientist,Data Science,DKK,520000.0,75200.0,Denmark,Mid,Full-time,Remote,Copenhagen,Medium
2025.0,Machine Learning Consultant,Machine Learning,USD,165000.0,165000.0,United States,Senior,Contract,Remote,"Nashville, TN",Small
2025.0,Senior Analytics Manager,Analytics,CAD,145000.0,106800.0,Canada,Senior,Full-time,Hybrid,Edmonton,Large
2025.0,Data Privacy Officer,Data Privacy,USD,135000.0,135000.0,United States,Mid,Full-time,In-person,"Washington, DC",Large
2025.0,Research Data Scientist,Research,AUD,115000.0,75900.0,Australia,Senior,Full-time,Remote,Brisbane,Medium
2025.0,AI Model Validator,AI Validation,USD,145000.0,145000.0,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025.0,Junior Data Analyst,Data Analysis,PLN,180000.0,44500.0,Poland,Entry,Full-time,In-person,Warsaw,Medium
2025.0,Data Science Manager,Data Science,USD,225000.0,225000.0,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025.0,Geospatial Data Analyst,Geospatial Analysis,USD,95000.0,95000.0,United States,Mid,Full-time,Hybrid,"Boulder, CO",Medium
2025.0,Machine Learning Engineer,Machine Learning,ILS,420000.0,115000.0,Israel,Mid,Full-time,In-person,Tel Aviv,Large
